agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,2744,153LINKSTLDOWN,153LINKSTLDOWN,Hastsal Village LIG Flats to Hari Nagar Depot 3,3
DIMTS,2745,153LINKSTLUP,153LINKSTLUP,Hari Nagar Depot 3 to Hastsal Village LIG Flats,3
DIMTS,2746,153LSTLDOWN,153LSTLDOWN,Shani Mandir Shiv Vihar / Hastsal JJ Colony to Hari Nagar Depot 3,3
DIMTS,2747,153LSTLUP,153LSTLUP,Hari Nagar Depot 3 to Shani Mandir Shiv Vihar / Hastsal JJ Colony,3
DIMTS,178,153STLDOWN,153STLDOWN,Shani Mandir Shiv Vihar / Hastsal JJ Colony to Hari Nagar Depot,3
DIMTS,179,153STLUP,153STLUP,Hari Nagar Depot to Shani Mandir Shiv Vihar / Hastsal JJ Colony,3
DIMTS,180,153UP,153UP,Mukherji Nagar Baandh to Shani Mandir Shiv Vihar / Hastsal JJ Colony,3
DIMTS,181,156DOWN,156DOWN,Azadpur Terminal to Nizamuddin Railway Station,3
DIMTS,182,156STLDOWN,156STLDOWN,Nizamuddin Railway Station to Indraprastha Depot,3
DIMTS,183,156STLUP,156STLUP,Indraprastha Depot to Nizamuddin Railway Station,3
DIMTS,184,156UP,156UP,Nizamuddin Railway Station to Azadpur Terminal,3
DIMTS,185,158DOWN,158DOWN,Ghoga Village to Jahangirpuri Metro Station GT Road,3
DIMTS,186,158UP,158UP,Jahangirpuri Metro Station GT Road to Ghoga Village,3
DIMTS,189,161ADOWN,161ADOWN,Bawana / Bawana Village Chowk to GTK Depot,3
DIMTS,190,161AUP,161AUP,GTK Depot to Bawana Dispensary,3
DIMTS,191,161DOWN,161DOWN,Bawana / Bawana Village Chowk to Old Delhi Railway Station (T),3
DIMTS,192,161STLDOWN,161STLDOWN,Rani Khera Depot 3 to Bawana Dispensary,3
DIMTS,193,161STLUP,161STLUP,Bawana Dispensary to Rani Khera Depot 3,3
DIMTS,194,161UP,161UP,Old Delhi Railway Station (T) to Bawana Dispensary,3
DIMTS,195,164ADOWN,164ADOWN,West Enclave / Sansad Vihar (T) to ISBT Nityanand Marg,3
DIMTS,196,164AUP,164AUP,ISBT Nityanand Marg to West Enclave / Sansad Vihar (T),3
DIMTS,197,164BDOWN,164BDOWN,West Enclave / Sansad Vihar (T) to Azadpur Metro Station,3
DIMTS,198,164BUP,164BUP,Azadpur Metro Station to West Enclave / Sansad Vihar (T),3
DIMTS,200,164LSTLDOWN,164LSTLDOWN,Rohini Sec 37 E Bus Depot to West Enclave / Sansad Vihar (T),3
DIMTS,201,164LSTLUP,164LSTLUP,West Enclave / Sansad Vihar (T) to Rohini Sec 37 E Bus Depot,3
DIMTS,206,165LSTLDOWN,165LSTLDOWN,Rohini Sec 37 E Bus Depot to Shahbad Dairy,3
DIMTS,207,165LSTLUP,165LSTLUP,Shahbad Dairy to Rohini Sec 37 E Bus Depot,3
DIMTS,208,165STLDOWN,165STLDOWN,Burari EV Depot (Outshed) to Bhajanpura,3
DIMTS,209,165STLUP,165STLUP,Bhajanpura to Burari EV Depot (Inshed),3
DIMTS,211,169DOWN,169DOWN,Katevara Village to Mori Gate Terminal,3
DIMTS,212,169STLDOWN3,169STLDOWN3,Katewara Village to Bawana Sec 5 Cluster Depot,3
DIMTS,213,169STLUP3,169STLUP3,Bawana Sec 5 Cluster Depot to Katewara Village,3
DIMTS,214,169UP,169UP,Mori Gate Terminal to Katevara Village,3
DIMTS,215,171DOWN,171DOWN,Holambi Kalan JJ Colony to Shivaji Stadium Terminal,3
DIMTS,216,171STLDOWN,171STLDOWN,Holambi Kalan JJ Colony to Rani Khera Depot 1,3
DIMTS,217,171STLUP,171STLUP,Rani Khera Depot 1 to Holambi Kalan JJ Colony,3
DIMTS,218,171UP,171UP,Shivaji Stadium Terminal ( Connaught Place ) to Holambi Kalan JJ Colony,3
DIMTS,219,172ADOWN,172ADOWN,Holambi Khurd to Jahangirpuri Metro Station GT Road,3
DIMTS,220,172AUP,172AUP,Jahangir Puri Crossing / Jahangirpuri GT Road to Holambi Khurd,3
DIMTS,221,172BDOWN,172BDOWN,Metro Vihar Holambi Khurd Terminal to Jahangirpuri Metro Station GT Road,3
DIMTS,222,172BUP,172BUP,Jahangir Puri Crossing / Jahangirpuri GT Road to Metro Vihar Holambi Khurd Terminal,3
DIMTS,223,172DOWN,172DOWN,Holambi Khurd to New Delhi Railway Station Gate 2,3
DIMTS,224,172EDOWN,172EDOWN,Metro Vihar Holambi Khurd Terminal to New Delhi Railway Station Gate 2,3
DIMTS,225,172ESTLDOWN,172ESTLDOWN,Bawana Sec 1 Cluster Depot to Metro Vihar Holambi Khurd Terminal,3
DIMTS,226,172ESTLUP,172ESTLUP,Metro Vihar Holambi Khurd Terminal to Bawana Sec 1 Depot Bus Stop,3
DIMTS,227,172EUP,172EUP,New Delhi Railway Station Gate 2 to Metro Vihar Holambi Khurd Terminal,3
DIMTS,228,172LSTLDOWN,172LSTLDOWN,Bawana Sec 1 Cluster Depot to Holambi Kalan JJ Colony,3
DIMTS,229,172LSTLUP,172LSTLUP,Holambi Kalan JJ Colony to Bawana Sec 1 Cluster Depot,3
